No,text
1,"rrq is strong, but i hate it when they're start taunting (i know it is part of the hype, but remember that the competition is not over and the table can be turn upside down)"
2,"keep strong RRQ 😇
respect dri sonic 💛🧡"
3,King of Runner Up
4,Runner up from RRQ🗿
5,introboys
6,rrq most consistent top 2 placer in mpl id😭
7,"the greatest 2nd place finisher of all time, RRQ!😆"
8,RRQ Till I die🧡🧡🧡
9,yve pick game 7 curse
10,it's onic time....
11,"Congratulations RRQ, champions of runner-up...local and international...🤣🤣🤣"
12,COMEBACK STRONGER HOSHI🧡🥹
13,rrq back to back 😂😂(runner-up)
14,gooooo ONIC🤩🥳🤩🥳🤩🤩🥳🤩🤩
15,push MMR granger🗿
16,RRQ 100X COMEBACK STRONGER💪💪
17,king Runner up
18,"Nice try Hoshi, comeback stronger🙌🏻"
19,no Skylar no tropi🗿
20,congrats onic
21,Comeback stronger RRQ ❤❤🔥🔥🙌🙌
22,comeback stronger 10x
23,keep strong team 💪🏻🔥
24,proud of you RRQ 🥰
25,keep up the spirit rrq
26,Kings of comeback stronger again and again.. RRQ cry again and again. 😂😂
27,"Me watching onic trembling in game 6. They ALMOST lost the game, then someone choke alhamdulillah. so onic brought to the game 7 and won 😁"
28,kairi x coach yeb effect 😂
29,Look what you did coach Yeb. 😩
30,I just noticed sutsujin looks like tony from LC sign
31,Goooo oniccc 💛💛💛💛💛
32,"kalah kami diam
menang kami tidak pernah 😭"
33,onic menyelamatkan dunia dari kebisingan😹
34,siapa yang di sini masih rrq ☝🔥🧡
35,"mencintai onic tanpa membenci rrq🧡💛
tetap semangat ya rrq🙏❤"
36,"gua sonic buttt, semangattt rrq💪🏼"
37,"game terakhir mental berbicara,onic yang udah pengalaman nya jauh udah pasti ga akan ke preasure bro,mungkin rrq perlu berbenah lagi,tingkatkan mental nya,onic mental nya udah mendarah daging jir dengan roster dari s10,5 season ke sekarang dengan rozter ganti cuma 2 lane tapi konsisten,5 mpl,1x msc,piala presiden,snapdragon,runner up m5,mental nya udah ngebut banget itu"
38,menyukai onic tanpa membenci rrq💛
39,"gw sonic,jujur kasihan liat rinz di outplay di menit2 akhir,pas onic win mukanya ngenes bgt🥲"
40,"gw sebagai sonic juga sedih sih ngelihat rrq udah berjuang dari awal untuk diatas tiba-tiba pas diakhir nya kalah juga, tpi its okey rrq masih ada msc semangat🔥🔥🔥🔥 💛🤜🏻🤛🏻🧡"
41,"nice try buat RRQ. gw Sonic, tapi tetap respect sama player² RRQ, tetap semangat, masih ada season depan💪"
42,onic menyelamatkan dunia dari kebisingan 🤭
43,"enak banget scrol tiktok malam ini
Bang Dodo Angkat Piala
Liverpool Juara
ONIC pun Juara😝"
44,"walaupun aku mendukung onic, tetap semangat RRQ 💪"
45,"ren gua yang nangis pls, cuma pengen ngliat lu angkat piala ren, keep strong lek ☹️🧡"
46,mencintai onic tanpa membenci rrq 🫂🫂
47,semua boleh juara asal jangan rrq😹
